XXXXXXXX-X	0523单位名称测试
45071931-x	0524单位名称
45071931-x	0525测试单位名称
62342403-7	0526单位名称
45071931-1	052601单位名称
45218318-6	南充市科学技术情报研究所
57277255-9	南充市希妤电子有限公司
20945465-2	四川省南充迪生技术交易有限公司
56569777-3	南充市顺庆区生产力促进中心
45218368-8	南充市中心医院
78666175-8	南充市攀峰滤清器有限公司
725520919	四川省南充东力连杆有限公司
915113037469228881	南充鑫源通讯技术有限公司
91511300621322774L	四川依格尔纺织品有限公司
91511300675799033U	四川科华石油化工设备工程有限公司
57526107-6	南充搏浪科技有限公司
9151130375974462XX	四川恒一食品有限公司
77980910-1	四川重汽王牌兴城液压件有限公司
66959638-7	四川燕京啤酒有限公司
91511303731612318W	四川省南充天太乳业有限公司
91511300735859406F	南充富达竹业有限公司
45071487-9	四川省农业科学院蚕业研究所
45218248-2	中共南充市委党校
77793447-8	四川南充康环热交换器有限公司
71756946—4	南充凤垭山农业有限公司
73485574-5	四川欧阳晓玲农业有限公司
738344766	四川景华石油机械有限公司
69225065-9	四川畅丰车桥有限公司
45218945-7	川北医学院
45218254-6	南充市专利事务所
71180699-1	四川省南充市汽车变速器厂
56762104-3	四川禾迪中药材开发有限公司
91511303782297653T	南充烟山味业有限责任公司
709047340	南充金福源实业有限公司
12510000452189430X	西南石油大学
91511303684187119K	四川飞龙电子材料有限公司
20945330-X	四川省蚕业科技开发总公司
91511303MA6290A88D	四川南充首创科技开发有限公司
91511303MA6290AC0Q	四川省南充蚕具研究有限公司
734842848	四川省南充绿宝菌业科技有限公司 
45218974-8	川北医学院附属医院
45218961-7	西华师范大学
75281669-4	东风南充汽车有限公司
551020542	南充香玲生态农业开发有限公司
91511325MA62923L53	南充市广丰农业科技有限公司
91511304MA6295AKXC	南充千年绸都第一坊酒业有限公司
91511302209458709Y	四川省南充市桃园生物化学研究开发有限公司
72322153—6	南充东方红机械制造厂
77584962-4	南充风垭山葡萄产业综合开发有限公司
73585786-5	四川南充新原机械制造有限公司
 66535564-X	南充圣峰蚕桑丝绸工程开发有限公司
66277972-X	四川宏泰来农业科技有限公司
74228412-9	四川省南充鑫磊冶金科技发展有限公司
45218288-8	南充市农业科学院
00876580-9	嘉陵区生产力促进中心
00875075-4	中共南充市委政研室
75599168-2	四川顺邦石油化工有限公司
45218339-7	四川省南充蚕种场
20968870-7	南充市万家香食品厂
68418874-4	南充宝申科技有限公司
74229689-1	四川南充市丝绸(进出口)有限公司
51130478911838X	四川春飞精细化工有限公司
00876591-3	嘉陵区龙岭镇农业服务中心
79397971-3	南充众合有机农业开发有限公司
56070644-X	南充恩佩瑞机电有限公司
79786016-2	南充市联众广告装饰有限公司
68794644-0	南充恒庆农业科技有限公司
12511100452182140W	南充市农业机械科学研究所
77582916-4	四川海峡农业科技有限公司
008762333	高坪区生产力促进中心
782294567	南充市社会科学界联合会
79396652-5	四川顺成纺织品有限公司
56071765-9	四川国盛金地农业开发有限公司
671412209	南充五星金方中药饮片有限公司
00875088-5	市人大教科文卫委
714426855	四川省百乐食品有限公司
G5610872-X	南充市果树技术指导站
20946225-7	南充佳新饲料研究所
76727937-7	四川省天兆畜牧科技有限公司
45218231-9	南充市林业科学研究所
56569342-2	南充市农牧业局
20945761-8	南充稼康农化有限公司
68993830-5	南充昊正生态农业开发有限公司
511302452195590	南充市第三人民医院
79788278-3	南充六合制丝有限责任公司
66959262-6	南充市金之源生态果业有限公司
G5610833-2	南充市植保植检站
00875074-6	民盟南充市委
57962156-9	四川新能广电科技有限公司
45218215-9	南充精神卫生中心
915113047822985841	四川光亚聚合物化工有限公司
56760299-3	南充市创科生物科技有限责任公司
75473285-7	南充职业技术学院
79582606-7	南充银海丝绸有限公司
71442677-5	中国石油四川石化南充炼油厂
71756869-9	 南充信达云禾印染有限公司
56763482-1	南充易安新材料有限公司
91511303740033748R	南充嘉美印染有限公司
9151130478669180XP	南充长荣丝绸制品有限公司
73831426-8	四川广安腾扩发制品有限公司
56072422-6	广安市铧强服装进出口有限公司
746910473	广安万豪商务有限公司
558248283	广安市国雅电子科技有限公司
12511102452209040B	南充市第五人民医院（南充市高坪区人民医院）
91511325687902501h	四川凤和黄酒有限责任公司
91511322209800164C	营山五四机械有限责任公司
45220640-5	南充市高坪区畜牧局
71180588-4	四川润丰肉食品有限公司
51292719740105	仪陇县农牧业局茶果站
521485235411	仪陇县农牧业局
G5644188-0	仪陇县水果茶叶技术指导站
76506592-2	四川省南充市现代牧业发展有限公司
G5652883-9	阆中市教育教学研究室
00879861-9	阆中市农牧业局果树站
45232826-9	四川省阆中东风中学校
125113024521893428	南充市中医医院
9151130273484312XB	四川泰鑫实业发展有限责任公司
77296490_X	南充市长远铝业有限公司
67144968-5	南充航空港投资开发有限公司
90968938-0	南充市高坪区铸钢厂
91511302567644691C	四川天喜车用空调股份有限公司
91511302723230678N	南充工塑零部件有限公司
58219918-6	现代丝绸国家工程实验室南充研究中心
58646170-0	南充赛特工信科技有限公司
45218348-5	南充生产力促进中心
55578563-0	南充市林业调查规划设计队
69916270-7	南充天龙特种专用汽车有限公司
78666743-9	南充大百合高科技农业发展有限公司
91511303MA6293FK6L	南充市过江龙食品有限公司
671412233	四川景渤石油机械有限公司
696959358	四川中孚石油股份有限公司
91511303551016076N	四川省宏锦泰粉末冶金有限公司
75662767-1	四川南充凯来机械制造有限公司
68793183	南充三环电子有限公司
58422436-5	南充市广丰农业科技有限公司(高坪分公司）
77165883-9	四川美亚丝绸有限公司
90945184x	四川南充晶塔变压器有限责任公司
75972112-9	四川佳诚科技有限公司
55346467-3	南充家天下房地产经纪有限公司
45219483-8	中华人民共和国南充出入境检验检疫局
66538330-9	南充天瑞汽车电子有限公司
66537533-3	南充双龙汽车变速箱有限公司
70903780-4	南充浩华汽车零部件制造有限公司
76727332-X	南充凌云高聚制造有限公司
57528844-7	南充市创意产业研究会
45218992-4	四川省蚕丝学校
91511302680437256X	南充市能星光电科技有限公司
67144388-1	南充泰鹏机械有限公司
75474166-5	南充德合丝绸制造有限公司
91511300709047092D	四川南充六合(集团)有限责任公司
78227606-X	中国致公党南充市工作委员会
56072517－3	南充市三公农业有限公司
59751453-X	南充晟德技术咨询有限公司
79184514-8	南充市秘书写作研究会
45218218-3	南充市地方志办公室
57073778-4	南充市写视康科技有限公司
00875076-2	九三学社南充市委员会
	
78471014-9	四川玉树科技(集团)有限公司
74962896-7	南充市蚕业管理总站
222222222222	南充市政府研究室
79789445-0	南充市西湖塑料厂
69696175-5	南充裕丰包装有限公司
57525733-3	四川紫牛电子科技有限公司
71752175-1	南充市鹰派科技有限公司
73486247-8	南充出入境检验检疫局机关技术保障服务中心
59045461-8	四川万宇生物科技有限公司
452189844	南充市五星小学
66740420-6	南充市千年绸都第一坊酒业有限公司
45008025-0	蓬安县教研室
00878278-0	蓬安县科学技术局
45232816—2	四川省阆中中学校
452207563	南充市高坪区教师进修学校
452207563	南充市高坪教师进修学校
67142715-2	南充康健生物科技有限责任公司
95715012-8	高坪生产力促进中心
56070195-6	南充市大禹水务科技有限责任公司
68994511-8	四川海隆石油技术有限公司
57073191－3	南充富牌农机有限公司
56326904-6	南充九州核桃产业开发有限公司
59507248-3	南充市巨星化工有限责任公司
79184952-8	南充鑫原羽绒制品有限公司
91511302740012410p	四川德尔博睿科技股份有限公司
72082433-1	四川人本轴承有限公司
73341401-6	四川科茂种业有限公司
73833962-5	四川鼎兴食品工业有限公司
74468505-7	南充青峡谷生态农业科技开发有限公司
58649159-8	南充金富春丝绸有限公司
45218240-7	四川省南充市纤维检验所
74227085-1	南充市顺庆区质量技术学会
73484995-1	南充市高坪区南江乡国府香米合作社
05822212-4	四川省管塑达塑胶有限公司
45232795-2	阆中市人民医院
45218268-5	南充市疾病预防控制中心
G5610888-5	南充市土壤肥料站
45218256-2	南充市技工学校
45864797-3	蓬安县锦屏初级中学校
91511322673525151L	南充市营渔水产科技有限公司
749622530	四川南充赛克斯纺织有限责任公司
